ダウンロードした時刻：2021/06/18 10:18:33

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月日,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),平均気温(℃),平均気温(℃),平均気温(℃)
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2001/8/1,0.0,0,8,1,7.7,0,8,1,3.6,8,1,34.8,8,1,25.0,8,1,晴後曇一時雨、雷を伴う,8,1,曇,8,1,28.7,8,1
2001/8/2,0,1,8,1,1.4,0,8,1,4.4,8,1,28.7,8,1,22.6,8,1,曇,8,1,曇,8,1,25.1,8,1
2001/8/3,0,1,8,1,4.4,0,8,1,3.0,8,1,31.9,8,1,22.4,8,1,曇後晴,8,1,晴後一時薄曇,8,1,26.3,8,1
2001/8/4,0,1,8,1,5.5,0,8,1,4.3,8,1,31.3,8,1,24.5,8,1,薄曇,8,1,曇,8,1,27.7,8,1
2001/8/5,0,1,8,1,2.4,0,8,1,4.5,8,1,28.3,8,1,22.8,8,1,曇後一時晴,8,1,曇,8,1,24.8,8,1
2001/8/6,0,1,8,1,1.1,0,8,1,3.4,8,1,27.9,8,1,22.5,8,1,曇,8,1,曇,8,1,24.6,8,1
2001/8/7,0,1,8,1,0,1,8,1,3.5,8,1,26.2,8,1,22.4,8,1,曇,8,1,曇,8,1,24.1,8,1
2001/8/8,0,1,8,1,0,1,8,1,2.8,8,1,27.0,8,1,22.0,8,1,曇,8,1,曇,8,1,23.9,8,1
