年月,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比)
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jun-02,20.9,8,1,155.5,0,8,1,129.9,0,8,1,4.1,8,1,8.2,8,1
Jul-02,26.9,8,1,106,0,8,1,183.6,0,8,1,5.3,8,1,7.7,8,1
Aug-02,27.2,8,1,85.5,0,8,1,237,0,8,1,4.9,8,1,5.6,8,1
Sep-02,22.4,8,1,316.5,0,8,1,121.4,0,8,1,3.3,8,1,7.5,8,1
Oct-02,18.5,8,1,202.5,0,8,1,183.9,0,8,1,3.9,8,1,5.4,8,1
Nov-02,11.3,8,1,22,0,8,1,129,0,8,1,4,8,1,6.1,8,1
Dec-02,6.7,8,1,95,0,8,1,132,0,8,1,3.3,8,1,6.1,8,1
Jan-03,5.1,8,1,115.5,0,8,1,202.4,0,5,1,4.3,5,1,4.2,8,1
Feb-03,5.7,8,1,61.5,0,8,1,138.3,0,8,1,3.4,8,1,6.1,8,1
Mar-03,8.3,8,1,161,0,8,1,199.9,0,8,1,4.6,8,1,5.8,8,1
Apr-03,14.6,8,1,122.5,0,8,1,154.2,0,8,1,5.1,8,1,7.6,8,1
May-03,18.2,8,1,89,0,8,1,131.8,0,8,1,4,8,1,8,8,1
Jun-03,22.6,8,1,38,0,8,1,101.7,0,8,1,4.1,8,1,8.7,8,1
Jul-03,22.3,8,1,143.5,0,8,1,57.4,0,8,1,3.7,8,1,9.3,8,1
Aug-03,25.3,8,1,318.5,0,8,1,144.1,0,8,1,4.3,8,1,8.2,8,1
Sep-03,23.6,8,1,138,0,8,1,169.9,0,8,1,4,8,1,7.1,8,1
Oct-03,17.3,8,1,125.5,0,8,1,138.1,0,8,1,3.5,8,1,7.4,8,1
Nov-03,14.1,8,1,228,0,8,1,87.4,0,8,1,3.4,8,1,7.5,8,1
Dec-03,9,8,1,53.5,0,8,1,186.1,0,8,1,3.8,8,1,4,8,1
Jan-04,5.9,8,1,9,0,8,1,204.6,0,8,1,4.5,8,1,4.5,8,1
Feb-04,8.1,8,1,18,0,8,1,215.9,0,8,1,4.4,8,1,4,8,1
Mar-04,9.2,8,1,121.5,0,8,1,168.5,0,8,1,4.7,8,1,6.4,8,1
Apr-04,15.8,8,1,76,0,8,1,229.7,0,8,1,5,8,1,5.3,8,1
May-04,18.9,8,1,132,0,8,1,135.4,0,8,1,4.9,8,1,7.8,8,1
Jun-04,23,8,1,190.5,0,8,1,185.9,0,5,1,4.6,8,1,7.6,8,1
Jul-04,27.5,8,1,20,0,8,1,249.3,0,8,1,4.5,8,1,6.1,8,1
